Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,69.29,70.27,68.47,70.05,70.05,441302
2021-06-08,70.01,70.62,69.46,69.96,69.96,410820
2021-06-09,69.76,70.65,68.68,70.29,70.29,492464
2021-06-10,70.1,71.24,69.68,70.91,70.91,563575
2021-06-13,70.65,71.78,70.65,70.88,70.88,319639
2021-06-14,71.16,72.49,70.81,72.12,72.12,336035
2021-06-15,72.45,72.99,71.61,72.15,72.15,426775
2021-06-16,71.65,72.3,69.77,71.04,71.04,373780
2021-06-17,71.1,72.17,70.16,71.64,71.64,139584
2021-06-20,71.52,73.96,71.15,73.66,73.66,123662
2021-06-21,73.41,73.95,72.94,73.06,73.06,498555
2021-06-22,72.91,74.25,72.82,73.08,73.08,429207
2021-06-23,73.28,73.61,72.32,73.3,73.3,334833
2021-06-24,73.32,74.18,72.85,74.05,74.05,364721
2021-06-27,73.99,74.45,72.62,72.91,72.91,354701
2021-06-28,72.78,73.81,71.97,72.98,72.98,321448
2021-06-29,73.47,74.14,72.82,73.47,73.47,383626
2021-06-30,73.5,76.22,73.39,75.23,75.23,615678
2021-07-01,75.02,75.62,74.41,75.16,75.16,377531
2021-07-05,75.35,76.98,72.94,73.37,73.37,714044
2021-07-06,73.85,74.86,71.07,72.2,72.2,607971
2021-07-07,72.17,73.26,70.76,72.94,72.94,529690
2021-07-08,73.26,74.76,72.72,74.56,74.56,422154
2021-07-11,74.74,74.93,73.16,74.1,74.1,397931
2021-07-12,74.18,75.52,73.68,75.25,75.25,444078
2021-07-13,75.17,75.44,72.21,73.13,73.13,528360
2021-07-14,72.96,72.96,71.4,71.65,71.65,368679
2021-07-15,71.48,72.3,70.41,71.81,71.81,133926
2021-07-18,71.49,71.67,65.63,66.42,66.42,82565
2021-07-19,66.6,67.65,65.21,67.42,67.42,561629
2021-07-20,66.45,70.51,66.44,70.3,70.3,503030
2021-07-21,70.22,72.03,69.86,71.91,71.91,435181
2021-07-22,71.71,72.21,71.39,72.07,72.07,274778
2021-07-25,72.18,72.43,70.56,71.91,71.91,395743
2021-07-26,72.22,72.33,71.08,71.65,71.65,333123
2021-07-27,71.9,72.6,71.7,72.39,72.39,318911
2021-07-28,72.4,73.68,72.26,73.62,73.62,294462
2021-07-29,73.41,74.23,72.93,73.95,73.95,303700
2021-08-01,73.91,73.95,70.55,71.26,71.26,448200
2021-08-02,71.52,71.96,69.19,70.56,70.56,509938
2021-08-03,70.32,70.81,67.85,68.15,68.15,582924
2021-08-04,68.06,69.35,67.61,69.09,69.09,416331
2021-08-05,69.14,70.18,67.8,68.28,68.28,537136
2021-08-08,67.88,67.9,65.15,66.48,66.48,598381
2021-08-09,66.85,68.9,66.56,68.29,68.29,452126
2021-08-10,68.51,69.45,66.67,69.25,69.25,513292
2021-08-11,69.36,69.62,68.46,69.09,69.09,352465
2021-08-12,68.91,69.22,67.77,68.44,68.44,272033
2021-08-15,68.13,68.14,65.73,67.29,67.29,334844
2021-08-16,67.43,67.72,66.33,66.59,66.59,235303
2021-08-17,66.58,67.48,64.34,65.46,65.46,121197
2021-08-18,64.58,64.76,62.63,63.69,63.69,88237
2021-08-19,64.05,64.1,62.11,62.32,62.32,365009
2021-08-22,61.96,66,61.74,65.64,65.64,397290
2021-08-23,65.54,67.8,65.41,67.54,67.54,335888
